Field,Type,Null,Key,Default,Extra
id,"int unsigned",NO,PRI,NULL,auto_increment
name,varchar(150),NO,,NULL,
gender,char(1),YES,,NULL,
phone_number,varchar(250),YES,,NULL,
address,varchar(250),YES,,TBD,
department,varchar(150),NO,,NULL,
salary,double,NO,,NULL,
start,date,NO,,NULL,
